estar,desc
[],它家的机票是别家无法做到的，但始终认为一份价钱一份货。相对其他航空公司的舒适程度来说，它家就稍微差点了。
[],找最便宜的机票，上海飞青岛，ctrip220，青岛飞上海，春秋300。
[],没有别的长处，就是价格便宜，可谓一俊遮百丑了。一般有四折以下的机票就不考虑火车了，自助游旅友的最爱，希望多开几条线路。
[],打着便宜的旗号，
[],做春秋唯一的原因就是因为它便宜，第一次坐春秋的飞机，还真长见识哦！人满为患的机舱里，偶懒懒的缩在一角，耳边充斥着一片唧唧喳喳，坐了无数趟的飞机，今天我才见识到春秋航空是不提供食物的，到了发东西的时候，只见几个机组人员推着小车挨个座位兜售食物，就像火车上卖东西一样，后排几个人见要收费，还问有没有便宜，呵，我一阵苦笑。
[],是额，很偏宜，很实惠，但是本小姐再也不会坐你们的飞机了，真的是很不满意哦！
[],票价便宜是选择的最主要元素，要尽早在网上订99系列的票。
[],怎么说呢。。。虽然大家都说它不好，可它真的很便宜啊。。。
[],"因为航空机票便宜,所以朋友出差,总是定他们家的,不过上次没赶上飞机,也因此不能签,结果白白自己摸了几百块,大半个月白做..不过我去西藏路帮他退前一张的时候,服务态度很好,心理也舒服点了."
[],这次去海南，坐的是春秋航空的飞机，唉，果然是廉价低成本航空～～～～
[],廉价航空公司，中国第一个，还属于起步阶段。世界上，我觉得英国的廉价航空普及的最好，大家出门旅行，第一个念头就是去订廉价航空的机票。88磅往返伦敦与米兰，实在是跌破眼镜的价格！
[],虽然春秋的机票很便宜很便宜
[],"对比其他的低成本航空公司他家的价格最低,是实实在在的低"
[],以前价格便宜得很，就是有时候延迟
[],坐过一次飞机
[],老妈去了重庆，朋友去了厦门，同学去了深圳，都是定的春秋的票
[],经常搞特价，满爽的~~就是这次来回太原，每次航班都推迟将就2小时，等的好痛苦啊~~看在便宜的份上只能忍啊~~有啥急事绝对不能做春秋啊
[],去厦门 来回都坐春秋航空
[],第一次乘飞机就是他们公司的，个人觉得不错，价格便宜不说，又是空客A320，很舒服。至于推销、没食物提供什么的我都觉得其次啦，都这么便宜了还奢望什么呢。就是以前飞青岛都虹桥的，现在该浦东很不方便，时间又早，所以成本要再加上一两百。
[],春秋的服务，个人认为不好，有一次去咨询旅游的事情，那个小姐估计看我们不是打算马上去的，那个晚娘的脸呀，说话也死样怪气的，真是受不了，这样的人还能坐到门市来啊。
[],网上订的199机票，加上税费保险318/人，真是便宜呀
[],万恶的春秋！！！
[],"去厦门定到199的机票, 不错.  希望下次有99的, 1元的更好, 嘻嘻"
[],咱不是富人。所以，非常支持春秋航空。虽然飞机，服务都是普通。但是也没有什么不好的地方。人家该做的都做了。
[],"空中客车A320不算是小飞机了,楼下评价说因为飞机小,遇气流颠簸厉害,觉得没有什么道理."
[],"便宜是便宜,尤其是当有特价机票的时候"
[],"同学帮订了上海至厦门的来回机票,去的航班延误两个小时,回来的航班延误了六个小时,在机场等啊等,道歉晚餐是方便面加可乐,我们去问延误原因~原来那辆飞机在太原还没飞过来,要等飞到上海,再飞到厦门,晕~~~"
[],网上的特价机票，99元，真是便宜，各种附加费和保险加起来都比机票本身贵。
[],如果没有低价位的机票作为卖点的话~！我想他也不会这么出名的~！
[],价格绝对是优势，乘飞机么只要不是长途也就一个小时左右的时间，所以飞机上提供的所谓简餐能省则省，而且说实话真的很难吃，所以春秋的做法还是可行的
[],我去厦门的时候来回订的都是他家的飞机票，很便宜的！
[],其实打折票没有几张，噱头而已。
[],去海南和厦门的时候都是这家
[],"2007年11月,通过网上支付的方式支付了7400多元的旅游费"
[],"喜欢自助游的我出行都是自己订的机票~~考虑到出行的成本嘛,就会选择坐春秋的飞机~~"
[],关键词：便宜_便宜_还是便宜
[],刚参加了春秋的厦门三日特价游（3.20--3.22）回来，感觉不错，顶一下！
[],如果钱来得不容易，还是选择春秋航空，性价比很高的。尤其它推出的一些特价票，比火车票还便宜，给那些没有坐过飞机的人一次圆梦的机会。
[],小时候觉得坐飞机是件遥不可及的事情，现在去那儿玩都订机票了。全因便宜，几乎跟火车票卧铺对等了。插一句，昨天还出个什么大相撞，死伤多少多少人，吓死个人。
[],便宜是绝对便宜
[],这次去厦门就是定的春秋，199+150，单程也就350。真的很便宜，机上服务也可以，介绍商品完全可以当喜剧看待。唯一不好的就是每次空中管制，首先开刀的就是春秋，害我们来回都延误了几小时。不提供餐饮可以理解，毕竟机票低廉；不过值得建议的是，可以选择的的餐饮实在是。。。就是方便面和方便饭，有点晕的说。性价比还是高的，但是是建立在不赶时间的基础上。如果有急事，还是考虑其他航空公司吧：）
[],一句话——便宜！！！
[],"小飞机,空乘服务不咋滴,没有飞机餐,飞行途中还搞销售,怪不得便宜~!!!"
[],怎么说呢。低价低质的典型，不过它能生存也有生存的道理，需要享受舒适服务的人不用去选择他。飞机很小，很颠簸（不愿意飞到高的地方，为了省油）空姐更多的像小卖部的营业员，不说了。
[],便宜是硬道理！
[],厦门自助游，机票网上订，还记得那天我们3个在电子阅览室里面研究了好久噢……凭着老娘的人品，抢到了3张的低价票~
[],国庆去云南选择的就是春秋航空，价格真的是便宜。换登机牌的时候告知加30换头排，若是2到5排加20，春秋真有商业头脑。因为我们几个人前面坐位没有了，只好换了后面几排的，位子好挤。不过实惠么也就算了，机上仅提供一瓶水，不过有购物车会推来推去，也挺方便，就是价格比地面上贵了许多。
[],去男友家那趟往返就是坐的这家航空公司的飞机，空客320，在网上用信用卡预定的机票，超级便宜，但是在飞机上也只发一小瓶矿泉水和一份报纸，呵呵，机票便宜嘛。服务还蛮好的，到底是机票便宜，位子之间的距离也蛮小的，总的来说性价比还是蛮高的。
[],飞的最多的航空公司把，便宜。
[],因为订的是春秋旅行社，所以去三亚的航班都是春秋的～～
[],因为便宜，所以去厦门的时候定了春秋的，来回才600多呢。
[],嘿嘿，自己去厦门几次都是走的春秋，还走过广州和天津~
[],"元宵节的时候和LG买了它家的特价机票回山东.每人99元.虽说飞机上没有什么吃的,只发了矿泉水,也无所谓了.才1个多小时,留着肚子回家吃好东西拉.说飞机小,其实也不小.坐过海南航空的比这小多了.谈不上什么服务啊,安全啊.就是上去了,打个盹,就该下飞机了.安全吗?不是没有掉下来么!呵呵.99元,就是一个实惠啊!"
[],去海南玩跟的是春秋4星团，不用说，飞机肯定也是用春秋航空的。
[],"上次朋友来济南玩，就从春秋订到了1元机票，所以这次我的机票都是从春秋网上订的，来回都只有99元，加上机场建设费和燃油费，也只花了500元。很合适的。而且济南起飞时间是中午12：40，上海起飞时间是10：40，时间也不错。因为我是初一的飞机，当时机长还特意通过广播问候乘客新年好，让我觉得很温馨。空姐的服务也很不错。飞行过程中没有出现大的颠簸.对我来说,稍感不好的话,就是我刚刚订了机票没两天,燃油费下调了20元.尽管我还没飞,可人家不退差价.另外,我还希望春秋能在济南多开通些航线,因为目前他们在济南只有济南--上海这一条线."
[],很多人说他家服务不好，没有飞机餐，抠得只给一瓶水~
[],便宜的。。。
[],选择它家的确是因为机票实在非常的便宜，由于要去澳门绕道珠海过关是最便宜又快捷的方法，所以KITY一直是选择它家的特价299元的特价机票。不过由于是低价航空公司，所以他们的飞机时间订的不是很晚就是很早，估计那个时候机场跑道比较空闲，可以省费用吧，呵呵！一上飞机，的确就是空姐空少们不厌其烦的推销商品，一路上是不可能睡得着觉了。而且他们规定不能自带食品上去吃，上次飞就看到一位顾客阿姨吃着自带的小黄鱼的说，当场就觉得这位阿姨太强了，结果还是被空姐发现当场制止，不过这位阿姨最强的就是就算被发现也照吃，弄得整个舱里都有股黄鱼味，真有点撅倒了！路上只有瓶装水提供，想要吃东西，请自己掏钱买来吃。
[],去年去厦门旅游时，乘坐的就是春秋航空公司的航班。
[],便宜，便宜，便宜....................
[],春秋航空公司，成立没有两年，是一家民营的航空公司
[],第一次坐飞机就是到海南，乘的飞机就是春航的。位子济的 要死，机舱上又不提供食物，机上的空姐难看的要死，要不是便宜，肯定没生意，差，差，差
[],春秋航空公司
[],说起来算是春秋的老客户了，买过199到厦门的，199到南昌的（为了去庐山），299到桂林的。没买到过99的，争取以后抢一张！
[],去海南旅游坐的春秋航空，看了大家的点评才知道原来老脱班的，还好我那次准时的。一分价钱一分货么，毕竟低价位快过坐火车么，好在飞行时间不很长，看看空姐推销纪念品和食物也是能打发一些时间的。
[],一点点都不喜欢春秋，不管是他的旅行社还是航空公司。
[],春秋的飞机坐过两次，上海去的昆明，还有桂林，都是因为和其它航空公司比起来便宜很多。不过它家的航班比较少，选择的时候要注意有时候航班抵达的时候已经半夜了，所以还是要因人而异的进行选择。
[],很早之前就听说了春秋航空，但一直没坐过他家的飞机。
[],我坐过几次春秋的飞机， 
[],本来，不想点评春秋，对春秋有说不清的感情。
[],虽然在黄金周里也有打折机票，但是延误起来实在是节棍，看着别家航空公司的飞机都飞走了，春秋就是原地不动。以后出行还是宁可买全价机票了。。。
[],记得当时结婚之后
[],价格是便宜的~
[],我坐过几次，感觉还行吧，低价啊，再说了，一般人，也不会怎么太令人感到的服务，反正该服务的都服务了就很不错的啊。票价是很低的，不过，有很多时候买打折票是要运气的哦。不是越早买越能买到低的折扣。不过，相对来说，折扣票还是很少的。
[],在春秋买了10多次票了，自己坐过6、7次，晚点过2回，1次1小时，1次6小时；6小时那次蛮夸张的，是天气原因，事先也不知道要延迟那么久，都没准备什么，看隔壁上航乘客在吃热腾腾的盒饭，而我们春秋只发了水和饼干，挺眼馋人家的，不过想想人家为了这盒饭可能比我多花1、2百的机票钱呢，也就平衡了。
[],中国么就该多点这样的航空公司
[],去年暑假从武汉到上海，坐过99块的飞机哈哈，当时大家都觉得是创造了机票价格的奇迹，比火车还便宜，不过服务也就那样了，正所谓一分钱一分货嘛，也没有什么不平衡的。
[],"很便宜的航空公司,里面的空姐都有大姐级的人物..."
[],"上次,去青岛做的是他们家的飞机.买的时候就觉得飞机票很便宜,到了浦东机场才发现,飞机好小啊.小的作孽.进去以后发现位子一个个都是很挤的.不舒服.整个飞行过程就只有一瓶水."
[],这家公司的票那是一个便宜，但是很多东西也就跟着下去了。据坐过他家飞机的人介绍，他们空乘上飞机就卖东西的，连有人在飞机上打手机游戏也不管的。多交20可以往前坐，一切向钱看。
[],去年去三亚，因为有春秋旅游抵用券所以选择了春秋航空，光买机票。没有定到特别便宜的，往返含税1500，还行。
[],去海南玩第一次坐春秋的飞机，听说是低成本航空公司出行前总是担心飞机是否开得稳之类得安全问题，后来上春秋的网查了他家的飞机都是空客A320的顿时放心了不少～～
[],"旅游喜欢订春秋旅行社,免不了要坐它的航班.感觉还行吧,只有水.推销东西时,空乘的笑脸最灿烂,其他时就没有了.中国的航班大多这样."
[],春秋航空，
[],非节假日，他家的机票是真的便宜额。
[],虽然应该支持低价航空，但是我对春秋除了厌恶大概也就没有别的想法了。3月21日飞厦门，3月26日返回。合计延误6个小时。不是天气原因，不是飞机故障，仅仅是因为春秋内部取消了1班航班。不负责任的航空公司，看看携程社区上对他如潮的恶评就已经足够令人心寒了。就3月中下旬，仅是上海厦门航线，他的延误航班就不计其数了。看了别的网友的遭遇，感觉我那6小时真的是小意思了。
[],春秋的优点大概也只有便宜了。
[],打着便宜的旗号，价是便宜可是服务也跟着低廉起来，机上座位加了很多，我好后悔乘坐啊，今后不会在坐了。真是差差差差差差差差差差差差差差差差
[],下礼拜去海南玩，定的春秋的旅行社，当然也是春秋自家的航空了。
[],第一次坐春秋的航班。。
[],看了大家的评论，然后我来评论，三项都给“好”。 
[],说实话，如果是出去玩，偶还真不会再坐春秋的飞机了，服务不错，八过这大概也是唯一不加什么成本的。其它真让人觉得无言啊~~~~`
[],以前没有春秋
[],春秋的機票就是便宜，除去了不需要的東西例如飛機餐。不能退票，不能改簽。網上訂還可以直接憑證件去機場拿票。
[],没坐过他们的飞机（还好没坐），已经是非常非常不喜欢这家航空公司了。以后也不会再选这家航空公司了。
[],第一次坐他们飞机是因为过年回家时唯一一个可以打折的关系，因为跟LG要买两个人的，再加上来回的，因为是飞往北方，所以票价贵些，而且过年期间也没有打折，比较之下订了这家的机票，好像是9。5折吧
[],春秋的定位很明确：低价——春秋似乎就是便宜机票的代名词。到重庆，加了机场建设费和燃油费不到450元的特价票的确诱人，需要提前30天订票，网站能够方便快捷的订票支付
[],很早就被它家的99，199广告所打动。
[],2008 No.69 (5★第58评)
[],定过几次都是帮朋友定机票，觉得操作的界面很方便，以致于后来在CTRIP上定票非常的不习惯。机票是便宜的，但是每每听人家说特价机票的飞机都不好，尤其是国内航班。。。。哎，还是很吓人的。。
[],"廉价机票真是好啊,那么便宜光想想都开心,其实,只要安全,机上的短暂时间谁在乎吃什么喝什么,尤其那些以服务标榜的大航空公司,他们本身的服务也不怎么样,所以,对百姓而言,实惠最重要..."
[],我们去青岛的时候是跟春秋的，这种大旅行社有优点也有缺点，优点就是办事效率比较高，到了一个地方很快就能进去游览。但是不足之处是，不能更好了解当地的风土人情，而且行程不是很自由。我们这次去湖南张家界是散拼的，散拼团的导游是当地的导游，这样我们就更多地了解了当地的文化。但是不足之处就是他们的效率比较低，我们到了景点还要等候很久等导游买票才能进入。
[],9.2-2
[],寒，适合教育小朋友养成良好节俭习惯的航空公司。机票价钱和燃油机建差不多了已经。
[],"春秋的飞机票是非常非常便宜的,才100元,200元,300元,不等!春秋航空为了节约成本,飞机上只发一瓶矿泉水喝,空姐经常会过来兜售一些航模啊,吃的东西什么的,当然吃的东西也会帮你加热的...有钱还是去别家航空公司,空姐服务热情,一道道点心咖啡饮料吃的东西上来,服务比春秋周到!"
[],低价位的机票，自然不能比其他航空公司。
[],每次回家、出游必定提前盯住春秋的特价票！
[],便宜——自己出游的话，航空公司春秋一定是首选。
[],特价机票真是便宜啊!!!去温州99-199
[],"选择的主要原因还是因为便宜,不过有的时间排得不是很好,晚上的是红眼航班,可怜了我lg,出公差从来都是坐很好的飞机,为了陪我回去得和我一起坐这种小飞机,座位很挤,空间很小,最要命的是上飞机之后被告知因为空勤的原因要原地待命,大家都憋在一个机舱里面,那个时候我还是怀孕期间,真还不如开始的时候在机场里面等待.还有一次是降落的时候颠簸得很厉害,感觉耳膜都振得很疼,我爸爸在旁边也呕吐了,不过幸好空姐服务还挺周到,马上上来递毛巾和呕吐袋,这点做得还是不错的!有好也有坏,希望在亲民价格的同时也能更好的为乘客考虑!"
[],"选择春秋,看上的就是春秋的便宜机票"
[],"春秋旅行社实在是一家骗人的公司.以往一直选择上海国旅,这次贪便宜选择春秋去柬埔寨,报的是1月17日的团,假请好了,出发前告知航班取消.于是转为过年之后的团,哪知,定好后,过年前又被告知取消了.这不是玩人吗.估计是该家旅行社没有搞定航空公司才会这样.呼吁各位不要选择春秋旅行社.否则会使自己假期也会丧失掉.没有信誉的公司."
[],第一次乘飞机去的海南，报的春秋的旅行团，据说春秋都会晚点，我们那次还会，来回都没怎么晚，就是空姐推销东西太多了，飞机上有一瓶矿泉水，路程不远，也够了。
[],机票便宜啊！！服务就别指望了。。。其他都还行，除了一男一女服务生极力推销春秋飞机模型之外。。。咳咳。反正短途飞行。不吃东西也无所谓
[],机票那么便宜，所以也就不能抱怨没免费餐吃了。
[],195
[],记得有看过春秋老总的采访 ，主持人说：春秋航空让一些一辈子都坐不了飞机的人圆了梦。酱紫，那么其他的环境、餐室、服务还算什么呢。计算一下人家的成本，同样航线，国企的开价，大家还计较什么呢。人家是民营企业呦。
[],它家票价是蛮便宜，特地几个城市一直都有特价，可机上服务就一般了
[],"特价票超级赞啊,比火车都便宜."
[],对于我们这种想出去旅游，又怕旅游没保障的人来讲，春秋还是很不错的，特别是纯玩团，没有购物，很惬意。就是春秋航空的飞机不太灵光，噪音很大，空服人员还是蛮好的，就是没有可以盛热水的杯子提供，都是冷的矿泉水。
[],公司出去旅游都是选的这家航空公司。
[],除了价钱，其它实在没有什么吸引人的。。。若说价钱嘛，特价票有时候也不是很好买的。。。而且买了特价票，什么晚点都不理乘客的，就把乘客晾在那里干等。。。
[],哈哈~~第一次坐飞机是跟老公一起，选择了春秋——便宜！
[],最大的特点就是便宜，和误点。
[],国内好像寻不到比他家更便宜的航空公司了。
[],春秋的优点只有1个就是便宜。
[],最喜欢的一家航空公司
[],价格真是超级便宜，
[],"价格相对便宜,但是机上位子间隔太小,如果想做第一二排的话要加钱的,中途会有推销的,坐春秋的航班最好坐第一班,后面几班误点比较多"
[],算是国内最好的低成本航空吧
[],就是价格吸引了人。。至于这个飞机么和大航空公司没法比。。。。小，抖，服务差，还推销。。。。实在太差。
[],"上个月去厦门一天打来回,乘的都是春秋航空."
[],第一次坐飞机，报了春秋的团，当然也是春秋的飞机了。
[],去厦门时乘过一次春秋的飞机，空姐好像普遍年龄偏大，像空嫂，服务一般，会提供一瓶矿泉水，尽管说不能携带自己的实物，他们也没有阻止我们吃自己带的东西。不能忍受的一点是不停地推销东西，什么飞机模型啊，毛巾啊什么都有。价格肯定是实惠的！
[],春秋航空就是便宜，经济的象征。机舱座位间隔很小，整个航程提供矿泉水一小瓶。航程中除了基本安全提示，还有信用卡（春秋龙卡）介绍及空中商店（同东方CJ)，所以坐春秋航空耳根不会清静。不过看在便宜的份上，行程时间不长的话，还是可以勉强接受的。
[],"定了两次票,只坐 了一次"
[],我蛮喜欢春秋的，虽然没有餐食供应，但是起码的矿泉水还是有的，毕竟便宜嘛，羊毛出在羊身上，如果伙食很赞但是买你几K的机票还不是一样算在自己头上了~
[],好便宜的飞机票哦，
[],既然价格便宜，所以也就不要去计较座位的舒适度和有时晚点了~要求不能太高！毕竟自助游可以节省很多了~况且，机长的水平还是很不错的！机舱也蛮干净~
